Time,"ELEVATION Z","Points:0","Points:1","Points:2","VELOCITY U","VELOCITY V","VELOCITY W"
5000,0.50145,287.15,61.307,12.5,0.27128,0.0003118,-1.7676e-05
5000,0.50053,439.14,54.037,12.5,0.29364,0.0051198,3.2315e-05
5000,0.5018,237.43,24.868,12.5,0.2663,0.0017812,1.1824e-06
5000,0.50115,328.28,22.815,12.5,0.2667,-0.00017094,-7.2295e-05
5000,0.50058,424.63,27.299,12.5,0.28232,0.0095606,8.7687e-07
5000,0.50047,411.69,26.575,12.5,0.27821,0.0019637,-0.00010018
5000,0.50133,301.78,25.46,12.5,0.27125,-0.0014679,-2.5971e-05
5000,0.50026,438.01,33.611,12.5,0.28565,0.015212,-2.51e-05
5000,0.50136,315.91,30.328,12.5,0.26998,4.1893e-05,-7.0468e-06
5000,0.50252,117.64,22.718,12.5,0.25647,0.00051792,-6.4803e-05
5000,0.50197,213.4,26.249,12.5,0.265,-0.00063672,-2.8799e-05
5000,0.50319,38.625,21.9,12.5,0.22613,0.0081122,-0.00010637
5000,0.50256,27.591,20.289,12.5,0.24372,0.015353,-0.00031607
5000,0.50199,200.77,26.276,12.5,0.26501,-0.0012986,-1.2043e-05
5000,0.50115,328.91,53.439,12.5,0.27469,-0.0027171,7.3491e-06
